주,신호수,평균섹터강도,N1_평균수익률,N2_평균수익률,N3_평균수익률,N5_평균수익률,N7_평균수익률,N10_평균수익률,N15_평균수익률,N20_평균수익률,최고였던_보유일수
2025-15주,9,1.01,1.46,4.544,6.242,9.036,9.092,13.165,12.361,10.619,10
2025-16주,4,-4.072,-4.08,-1.687,0.952,0.364,-0.472,-0.867,0.072,1.22,20
2025-17주,6,2.627,-3.596,-3.387,-3.918,-5.531,-5.924,-6.299,-6.299,-6.299,2
2025-18주,5,12.968,-1.543,-2.371,-0.025,1.415,-0.158,1.546,2.621,2.68,20
2025-19주,6,13.663,-2.044,-3.813,-2.227,5.302,7.247,6.965,9.622,13.975,20
2025-20주,17,7.899,1.858,3.858,2.946,3.762,3.908,5.111,10.051,13.766,20
2025-21주,3,11.347,-5.297,-3.568,-5.766,-5.239,-6.821,-6.821,-6.821,-6.821,2
2025-22주,13,3.502,1.012,1.391,3.526,8.548,8.525,9.509,10.338,11.267,20
2025-23주,8,5.994,3.067,5.098,5.945,5.57,6.375,8.136,8.092,5.51,10
2025-24주,24,7.548,0.072,1.556,2.58,6.809,8.35,7.275,4.124,5.104,7
2025-25주,16,0.991,8.519,5.777,5.533,6.821,4.605,3.261,4.559,5.892,1
2025-26주,25,6.94,-0.794,-1.88,-2.678,-4.003,-3.455,-2.992,-2.945,-2.92,1
2025-27주,12,0.674,0.399,-1.025,-0.528,0.856,2.784,3.448,6.898,6.074,15
2025-28주,11,-3.126,0.165,-0.614,-0.095,4.043,3.691,4.108,-0.008,-0.479,10
2025-29주,15,4.549,2.39,0.732,-1.403,0.38,0.704,0.132,-0.492,1.195,1
2025-30주,12,8.956,-0.633,-0.986,-0.024,3.086,0.32,2.564,5.004,3.146,15
2025-31주,15,4.79,-2.161,-3.972,-4.172,-4.843,-5.824,-6.384,-6.697,-6.43,1
2025-32주,11,6.658,1.683,1.675,2.36,4.601,3.794,1.271,0.2,-2.425,5
2025-33주,7,7.031,-3.024,-4.689,-5.155,-5.528,-5.706,-5.653,-6.794,-6.794,1
2025-34주,3,0.187,5.552,5.354,1.272,-1.282,2.361,0.287,1.825,15.965,20
2025-35주,15,4.183,1.244,0.851,-1.505,0.113,0.67,0.983,4.008,6.834,20
2025-36주,7,9.553,-1.063,-0.868,-1.325,-1.59,-1.097,3.743,11.648,6.643,15
2025-37주,18,-0.077,0.212,0.601,0.295,1.41,2.759,0.744,6.845,10.895,20
2025-38주,17,5.837,0.814,2.212,3.169,1.271,0.969,2.067,1.772,1.835,3
2025-39주,11,8.647,-1.728,-3.503,-4.943,-3.862,-2.17,0.231,0.228,0.777,20
2025-40주,8,9.935,-0.869,3.516,3.627,8.033,11.765,13.045,12.707,9.29,10
2025-41주,7,14.569,6.223,9.307,16.064,13.66,14.475,22.581,31.845,24.095,15
2025-42주,43,7.57,2.383,5.894,9.672,13.235,17.351,20.371,16.825,18.11,10
2025-43주,31,7.549,-0.148,1.538,3.229,5.997,5.746,4.154,2.939,2.153,5
2025-44주,28,3.276,0.359,0.36,0.712,-0.931,-1.183,1.383,3.445,3.48,20
2025-45주,14,11.759,-1.068,-2.76,-3.864,-4.659,-4.452,-4.795,-3.323,-3.08,1
2025-46주,18,9.394,2.032,2.118,0.811,0.339,-0.235,1.482,2.586,2.275,15
2025-47주,7,1.656,5.469,8.474,7.74,5.907,20.39,23.593,27.814,25.488,15
2025-48주,9,8.376,3.316,4.687,5.968,8.873,11.593,10.815,10.24,14.467,20
2025-49주,19,14.8,0.571,0.086,-0.772,0.91,0.172,-1.956,-3.468,-2.371,5
2025-50주,13,1.619,0.679,-1.304,-3.459,-4.278,-6.138,-6.247,-6.247,-6.247,1
2025-51주,6,10.325,-1.826,-1.904,-2.999,-3.95,-5.05,-4.116,6.644,4.926,15
2025-52주,9,3.882,-2.903,-4.241,-3.693,-4.502,-0.361,1.63,2.977,0.435,15
2026-01주,13,-0.349,-0.026,3.61,3.504,4.196,4.432,3.72,2.649,6.704,20
2026-02주,34,4.35,1.269,3.528,5.532,10.479,11.927,13.453,12.425,12.925,10
2026-03주,36,-0.335,3.053,8.508,11.135,15.766,15.993,14.422,12.583,11.614,7
2026-04주,37,2.055,-3.166,-1.609,-0.948,0.286,-0.872,-3.186,-2.671,-1.914,5
2026-05주,34,10.256,2.463,4.877,4.779,2.375,0.879,0.474,1.511,3.45,2
2026-06주,8,7.47,-1.578,-3.199,-0.096,-3.931,0.119,-0.588,-1.959,-1.615,7
2026-07주,7,2.084,-0.258,-1.965,-0.34,-1.101,3.867,0.256,-0.964,-1.242,7
2026-08주,3,-8.657,-3.605,-3.453,-4.275,-3.764,-3.764,-3.764,-3.764,-3.764,2
2026-09주,11,-2.087,1.646,-3.191,-4.686,-9.605,-8.542,-9.301,-9.404,-10.525,1
2026-10주,15,6.668,-10.139,-12.444,-12.001,-11.987,-11.949,-12.529,-12.751,-12.751,1
2026-11주,3,5.237,-2.143,-3.262,-4.242,-4.814,-4.487,-4.487,-4.487,-4.487,1
2026-13주,5,6.218,-0.661,-3.08,-0.675,-2.005,3.269,9.684,4.628,11.554,20
2026-14주,4,4.72,0.304,-0.02,5.082,4.223,4.502,3.915,18.387,28.718,20
2026-15주,8,-2.872,-1.677,-2.301,1.794,1.633,1.325,4.608,18.927,22.859,20
2026-16주,11,1.388,-2.092,-0.967,-0.529,3.282,6.951,13.294,18.49,9.425,15
2026-17주,23,4.065,3.761,4.884,5.425,10.291,13.558,16.076,12.911,10.735,10
2026-18주,20,4.242,-0.155,1.714,2.342,3.482,3.987,0.168,-6.271,-6.271,7
2026-19주,20,-8.69,2.153,-0.826,2.177,-2.554,-7.147,-5.937,-4.775,-6.321,3
2026-20주,21,-15.377,-4.031,-4.496,-7.172,-8.494,-8.494,-8.494,-8.494,-8.494,1
2026-21주,3,-10.887,0.622,-0.819,-4.622,-4.622,-4.622,-4.622,-4.622,-4.622,1
2026-22주,6,-20.933,3.096,-0.452,-1.1,-2.131,-6.535,-5.313,-7.259,-7.259,1
2026-23주,8,-14.146,-10.822,-11.889,-12.315,-14.601,-14.601,-14.601,-14.601,-14.601,1
2026-24주,11,6.918,2.87,-1.084,-4.984,-5.406,-5.767,-8.471,-8.471,-8.471,1
2026-25주,9,-11.321,-5.606,-8.268,-8.96,-9.56,-9.56,-9.56,-9.56,-9.56,1
2026-27주,6,-2.965,-2.364,-5.94,-7.503,-10.105,-10.105,-10.105,-10.105,-10.105,1
2026-28주,4,-1.568,-4.683,-5.357,-4.712,-4.712,-4.712,-4.712,-4.712,-4.712,1
2026-30주,5,9.468,-6.057,-7.748,-8.695,-8.695,-9.349,-9.349,-9.349,-9.349,1
